ITEM,NCM/SH,TIPO DE ATIVIDADE*,DESCRIÇÃO COMERCIAL
131,8423,"Transferência; Movimentação;
Transporte.","Balança rodoviária weighbridge para veículos,
completa (plataforma, células de carga e indicador)."
132,8423,"Transferência; Movimentação;
Transporte.","Células de carga load cells e indicador/terminal de
pesagem para balança rodoviária."
133,8423,"Transferência; Movimentação;
Transporte.","Sistema de pesagem em movimento weigh-in-motion
(WIM)."
134,8424,Armazenamento; Regaseificação.,"Lavadora de alta pressão pressure washer (água
fria/quente), conjunto completo."
135,8424,Armazenamento; Regaseificação.,"Partes/acessórios de lavadora de alta pressão (pistola,
bicos, lança)."
136,8424,"Armazenamento; Regaseificação;
Transferência.","Sistema fixo de extinção por CO₂ (cilindros/coletores,
válvulas, bicos de descarga/nozzles, tubulação e
acionamento)."
137,8425,"Transferência; Movimentação;
Armazenamento; Regaseificação.","Guincho/davit de lançamento e recolhimento de
balsa/bote, com sistema de descida controlada."
138,8425,"Transferência; Armazenamento;
Regaseificação.","Guincho/cabrestante/tensionador de amarração —
mooring winch/capstan, com ou sem tensionamento
automático (constant tension/render & recover)."
139,8425,"Movimentação; Armazenamento;
Regaseificação.","Talha elétrica de corrente ou de cabo (electric
chain/wire-rope hoist)."
140,8426,"Movimentação; Armazenamento;
Regaseificação.","Guindaste elétrico tipo overhead/bridge crane ou
gantry crane, com ponte/viga e trolley."
141,8428,Transferência.,"Braço de carregamento de GNL (loading arm) com
juntas/acoplamento."
142,8428,"Transferência; Armazenamento;
Regaseificação.","Passarela gangway telescópica/autoajustável com
sistema de elevação/compensação e controle
(hidráulico/elétrico)."
143,8428,"Movimentação; Armazenamento;
Regaseificação.","Rotador/berço de rolos para tubos — pipe rotator/roller
bed, com acionamento."
144,8431,"Transferência; Armazenamento;
Regaseificação.","Partes de guinchos/cabrestantes de amarração —
tambores, redutores, cabeçotes, freios/conjuntos de
freio, bases e painéis de comando."
145,8431,"Transferência; Movimentação;
Armazenamento; Regaseificação.","Partes de guinchos/cabrestantes de amarração
(tambor, redutor, cabeçotes, conjuntos de freio)."
146,8431,"Transferência; Movimentação;
Armazenamento; Regaseificação.","Partes de sistemas de lançamento (cabos, tambores,
redutores, cabeçotes, suportes)."
147,8431,"Movimentação; Armazenamento;
Regaseificação.","Partes e componentes de guindastes/ponte rolante
(troles, cabeceiras, rodas, ganchos/moitões,
longarinas, conjuntos de translação)."
148,8431,"Movimentação; Armazenamento;
Regaseificação.","Partes e componentes reconhecíveis de equipamentos
de elevação e manuseio de materiais (ex.: pipe
rotators, roller beds, troles/cabeçotes de rolagem,
módulos de movimentação)."
149,8431,Transferência.,"Peça sobressalente própria de braço de carregamento
de GNL (loading arm) — haste/elemento do
mecanismo de garra/junta, em aço."
150,8466,Armazenamento; Regaseificação.,"Acessórios/dispositivos de fixação e alinhamento para
máquinas-ferramenta (jigs and fixtures, work holders,
tool holders, dividing heads)."
151,8467,Armazenamento; Regaseificação.,"Ferramenta portátil motorizada para expansão/rolagem
de tubos — power tube expander."
152,8467,Armazenamento; Regaseificação.,"Ferramentas portáteis motorizadas (power tools) para
montagem/manutenção (furadeira, parafusadeira,
rebitador, grinder)."
153,8468,Armazenamento; Regaseificação.,"Aparelho de soldagem/brazeamento a gás e corte
(maçaricos, gas welding/brazing set, cutting torch)."
154,8471,"Transferência; Movimentação;
Armazenamento; Regaseificação.","Computador industrial panel PC/industrial PC (unidade
de processamento com tela)."
155,8471,"Transferência; Movimentação;
Armazenamento; Regaseificação.","Computador/servidor industrial da sala de controle
(industrial PC, server)."
156,8471,"Transferência; Movimentação;
Armazenamento; Regaseificação.","Unidade de processamento industrial (industrial PC,
CPU module) para sistemas de controle/automação."
157,8479,Transferência; Movimentação.,"Desarenador/classificador de areia (grit chamber/grit
classifier)."
158,8479,Movimentação.,"Espessador/decantador de lodo — mecanismo de
raspagem/ponte."
