13,8805.21.00,Simuladores de combate aéreo e suas partes
14,8906.10.00,Navios de guerra
15,9012.10.10,Microscópios eletrônicos
16,9027.20.11,Cromatógrafo de fase gasosa
17,9027.20.12,Cromatógrafo de fase líquida
