ITEM,NCM/SH,TIPO DE ATIVIDADE*,DESCRIÇÃO COMERCIAL
1,3917,"Transferência; Movimentação;
Regaseificação.","Conexões plásticas para tubulações (fittings,
couplings, portas de serviço) em material plástico
compatível com serviço criogênico."
2,3917,Transferência.,"Mangote criogênico composto para GNL, de plástico
— composite."
3,3917,Armazenamento; Regaseificação.,"Mangueira de alta pressão composta/plástica para
lavadora composite."
4,3926,Transferência.,Defensas foam-filled com revestimento em poliuretano.
5,3926,Movimentação.,Difusores de ar (plástico) para aeração de tanques.
6,3926,"Armazenamento; Regaseificação;
Transferência.",Funil (plástico) para reabastecimento técnico — funnel.
7,3926,Transferência.,"Juntas/vedações em material plástico compatível com
serviço criogênico para braço de carregamento (plastic
gaskets/seals)."
8,4009,Transferência.,"Mangote criogênico para GNL, de borracha
vulcanizada."
9,4009,Armazenamento; Regaseificação.,"Mangueira de alta pressão de borracha vulcanizada
para lavadora."
10,4016,Transferência.,"Defensas pneumáticas para STS, tipo chain-tire net ou
sling type."
11,4016,Movimentação.,Difusores de ar (borracha vulcanizada/EPDM).
12,4016,"Transferência; Armazenamento;
Regaseificação.","Juntas e vedadores de borracha (rubber
gaskets/seals) aplicados à linha de eixo/propulsão."
13,4016,Transferência.,"Juntas/gaxetas de borracha vulcanizada para braço de
carregamento (rubber gaskets/O-rings)."
14,5607,"Transferência; Armazenamento;
Regaseificação.","Cordas/cabos têxteis para amarração — mooring lines,
hawsers."
15,6307,"Transferência; Movimentação;
Armazenamento; Regaseificação.","Colete salva-vidas e boia circular lifejackets and
lifebuoys."
