Sumário,Item
1. INTRODUÇÃO,1 – 4
2. PRESSUPOSTOS PARA A ELABORAÇÃO DA DVA,5 – 18
Conceito de Valor Adicionado e sua Destinação,5 – 10
Diferenças entre Critérios Econômicos e Critérios Contábeis,11 – 15
DRE é a base fundamental para a elaboração da DVA,16 – 18
3. MODELOS,19 – 43
Modelo Geral,21 – 38
Modelo para Instituições Financeiras,39 – 41
Modelo para Seguradoras e Resseguradoras,42 – 43
4. BASES PARA CONCLUSÕES,44 – 46
"5. UTILIDADE DA DVA E SUA RELAÇÃO COM AS INFORMAÇÕES AMBIENTAIS,
SOCIAIS E DE GOVERNANÇA (ASG)",47 – 52
HISTÓRICO DA DVA,IN1 – IN13
