Sumário,Item
CAPÍTULO 1 – OBJETIVO DO RELATÓRIO FINANCEIRO PARA FINS GERAIS,
INTRODUÇÃO,1.1
"OBJETIVO, UTILIDADE E LIMITAÇÕES DO RELATÓRIO FINANCEIRO PARA
FINS GERAIS",1.2 – 1.11
"INFORMAÇÕES SOBRE RECURSOS ECONÔMICOS DA ENTIDADE QUE
REPORTA, REIVINDICAÇÕES CONTRA A ENTIDADE E ALTERAÇÕES EM
RECURSOS E REIVINDICAÇÕES",1.12
Recursos econômicos e reivindicações,1.13 – 1.14
Alterações em recursos econômicos e reivindicações,1.15 – 1.16
"Desempenho financeiro refletido pela contabilização pelo regime de
competência",1.17 – 1.19
Desempenho financeiro refletido por fluxos de caixa passados,1.20
"Alterações em recursos econômicos e reivindicações não resultantes do
desempenho financeiro",1.21
INFORMAÇÕES SOBRE O USO DE RECURSOS ECONÔMICOS DA ENTIDADE,1.22 – 1.23
