Sumário,Item
"CAPÍTULO 2 – CARACTERÍSTICAS QUALITATIVAS DE INFORMAÇÕES
FINANCEIRAS ÚTEIS",
INTRODUÇÃO,2.1 – 2.3
CARACTERÍSTICAS QUALITATIVAS DE INFORMAÇÕES FINANCEIRAS ÚTEIS,2.4 – 2.38
Características qualitativas fundamentais,2.5 – 2.22
Relevância,2.6 – 2.10
Materialidade,2.11
Representação fidedigna,2.12 – 2.19
Aplicação das características qualitativas fundamentais,2.20 – 2.22
Características qualitativas de melhoria,2.23 – 2.38
Comparabilidade,2.24 – 2.29
Capacidade de verificação,2.30 – 2.32
Tempestividade,2.33
Compreensibilidade,2.34 – 2.36
