Custo corrente,6.21 – 6.22
INFORMAÇÕES FORNECIDAS POR BASES DE MENSURAÇÃO ESPECÍFICAS,6.23 – 6.42
Custo histórico,6.24 – 6.31
Valor atual,6.32 – 6.42
Valor justo,6.32 – 6.36
Valor em uso e valor de cumprimento,6.37 – 6.39
Custo corrente,6.40 – 6.42
"FATORES A SEREM CONSIDERADOS AO SELECIONAR A BASE DE
MENSURAÇÃO",6.43 – 6.86
Relevância,6.49 – 6.57
Características do ativo ou passivo,6.50 – 6.53
Contribuição a fluxos de caixa futuros,6.54 – 6.57
Representação fidedigna,6.58 – 6.62
Características qualitativas de melhoria e a restrição de custo,6.63 – 6.76
Custo histórico,6.69 – 6.71
Valor atual,6.72 – 6.76
Fatores específicos para mensuração inicial,6.77 – 6.82
Mais de uma base de mensuração,6.83 – 6.86
MENSURAÇÃO DE PATRIMÔNIO LÍQUIDO,6.87 – 6.90
TÉCNICAS DE MENSURAÇÃO BASEADAS EM FLUXO DE CAIXA,6.91 – 6.95
