"4ª
Faixa","4,00%","3,50%","16,60%","43,40%","19,50%","13,00%"
"5ª
Faixa","4,00%","3,50%","15,60%","43,40%","20,10% (*)","13,40%"
"6ª
Faixa","35,00%","15,00%","19,50%","30,50%",,
"(*) O percentual efetivo máximo devido ao ISS será de 3%, transferindo-se a diferença, de forma proporcional, aos
tributos federais e IBS da mesma faixa de receita bruta anual. Sendo assim, na 5ª faixa, quando a alíquota efetiva for
superior a 14,92537% a repartição será:",,,,,,
,IRPJ,CSLL,CBS,CPP,ISS (*),IBS
"5ª
Faixa, com
alíquota
efetiva
superior a
14,92537%","(Alíquota
efetiva - 3%) x
5,01%","(Alíquota
efetiva - 3%) x
4,38%","(Alíquota
efetiva - 3%) x
19,52%","(Alíquota
efetiva - 3%) x
54,32%","Percentual
de ISS fixo em
3%","(Alíquota
efetiva - 3%) x
16,77%"
