Faixas,Percentual de Repartição dos Tributos,col2,col3,col4,col5,col6
,IRPJ,CSLL,CBS,CPP,ISS (*),IBS
"1ª
Faixa","4,00%","3,50%","15,60%","43,40%","30,15%","3,35%"
"2ª
Faixa","4,00%","3,50%","17,10%","43,40%","28,80%","3,20%"
"3ª
Faixa","4,00%","3,50%","16,60%","43,40%","29,25%","3,25%"
"4ª
Faixa","4,00%","3,50%","16,60%","43,40%","29,25%","3,25%"
