Faixas,Percentual de Repartição dos Tributos,col2,col3,col4,col5,col6
,IRPJ,CSLL,CBS,CPP,ISS (*),IBS
"1ª
Faixa","4,00%","3,50%","15,60%","43,40%","20,10%","13,40%"
"2ª
Faixa","4,00%","3,50%","17,10%","43,40%","19,20%","12,80%"
"3ª
Faixa","4,00%","3,50%","16,60%","43,40%","19,50%","13,00%"
