Veículos
"87.03; 8704.21 (exceto os caminhões); 8704.31 (exceto os caminhões); 8704.41.00 (exceto os caminhões); 8704.51.00 (exceto os caminhões); 8704.60.00
(exceto os caminhões); 8704.90.00 (exceto os caminhões); ressalvados os veículos com características técnicas específicas para uso operacional das Forças
Armadas ou dos órgãos de Segurança Pública"
Aeronaves e Embarcações
"8802, exceto o código 8802.60.00; e embarcações com motor classificadas na posição 8903; ressalvadas as aeronaves e embarcações com características
técnicas específicas para uso operacional das Forças Armadas ou dos órgãos de Segurança Pública"
Produtos fumígenos
2401; 2402; 2403; 2404
Bebidas alcóolicas
2203; 2204; 2205; 2206; 2208
Bebidas açucaradas
2202.10.00
Bens minerais
2601; 2709.00.10; 2711.11.00; 2711.21.00
Concursos de prognósticos e Fantasy sport
