2ª Faixa,"23,00%","15,00%","17,15%","27,85%","13,60%","3,40%"
3ª Faixa,"24,00%","15,00%","18,15%","23,85%","15,20%","3,80%"
4ª Faixa,"21,00%","15,00%","19,15%","23,85%","16,80%","4,20%"
5ª Faixa,"23,00%","12,50%","17,15%","23,85%","18,80%","4,70%"
6ª Faixa,"35,00%","15,50%","20,00%","29,50%",,
