Faixas,Percentual de Repartição dos Tributos,col2,col3,col4,col5,col6
,IRPJ,CSLL,CBS,CPP,ICMS,IBS
1ª Faixa,"5,50%","3,50%","15,33%","41,50%","34,00%","0,17%"
2ª Faixa,"5,50%","3,50%","15,33%","41,50%","34,00%","0,17%"
3ª Faixa,"5,50%","3,50%","15,33%","42,00%","33,50%","0,17%"
4ª Faixa,"5,50%","3,50%","15,33%","42,00%","33,50%","0,17%"
5ª Faixa,"5,50%","3,50%","15,33%","42,00%","33,50%","0,17%"
6ª Faixa,"13,58%","10,06%","34,02%","42,34%",,
