Faixas,Percentual de Repartição dos Tributos,col2,col3,col4,col5
,IRPJ,CSLL,CBS,CPP,IBS
1ª Faixa,"25,00%","15,00%","17,15%","28,85%","14,00%"
2ª Faixa,"23,00%","15,00%","17,15%","27,85%","17,00%"
3ª Faixa,"24,00%","15,00%","18,15%","23,85%","19,00%"
4ª Faixa,"21,00%","15,00%","19,15%","23,85%","21,00%"
5ª Faixa,"23,00%","12,50%","17,15%","23,85%","23,50%"
6ª Faixa,"35,00%","15,50%","20,00%","29,50%",
