Faixas,Percentual de Repartição dos Tributos,col2,col3,col4,col5,col6
,IRPJ,CSLL,CBS,CPP,ICMS,IBS
1ª Faixa,"5,50%","3,50%","15,50%","41,50%","20,40%","13,60%"
2ª Faixa,"5,50%","3,50%","15,50%","41,50%","20,40%","13,60%"
3ª Faixa,"5,50%","3,50%","15,50%","42,00%","20,10%","13,40%"
4ª Faixa,"5,50%","3,50%","15,50%","42,00%","20,10%","13,40%"
5ª Faixa,"5,50%","3,50%","15,50%","42,00%","20,10%","13,40%"
6ª Faixa,"13,50%","10,00%","34,40%","42,10%",,
