ITEM,DESCRIÇÃO,NCM/SH
1,Barra de apoio para pessoa com deficiência física,8302.41.00
2,"CADEIRA DE RODAS E OUTROS VEÍCULOS PARA DEFICIENTES, MESMO COM MOTOR OU OUTRO MECANISMO DE PROPULSÃO",
2.1,Sem mecanismo de propulsão,8713.10.00
2.2,"Cadeiras de rodas com motor
ou outro mecanismo de propulsão e outros veículos para pessoas com incapacidade, mesmo com motor ou
outro mecanismo de propulsão",8713.90.00
3,"Partes e acessórios destinados exclusivamente a aplicação em cadeiras de rodas ou em outros veículos
para deficientes",8714.20.00
4,"Aparelhos para facilitar a audição dos surdos, exceto partes e acessórios",9021.40.00
5,Partes e acessórios de aparelhos para facilitar a audição dos surdos,9021.90.92
6,Implantes cocleares,9021.90.19
