Faixas,Percentual de Repartição dos Tributos,col2,col3,col4,col5
,IRPJ,CSLL,CBS,CPP,IBS
1ª Faixa,"4,00%","3,50%","15,60%","43,40%","33,50%"
2ª Faixa,"4,00%","3,50%","17,10%","43,40%","32,00%"
3ª Faixa,"4,00%","3,50%","16,60%","43,40%","32,50%"
4ª Faixa,"4,00%","3,50%","16,60%","43,40%","32,50%"
5ª Faixa,"4,00%","3,50%","15,60%","43,40%","33,50%"
6ª Faixa,"35,00%","15,00%","19,50%","30,50%",
