Faixas,col1,col2,col3,col4,col5
,IRPJ,CSLL,CBS,CPP,ISS (*)
1ª Faixa,"4,00%","3,50%","15,60%","43,40%","23,45%"
2ª Faixa,"4,00%","3,50%","17,10%","43,40%","22,40%"
3ª Faixa,"4,00%","3,50%","16,60%","43,40%","22,75%"
4ª Faixa,"4,00%","3,50%","16,60%","43,40%","22,75%"
5ª Faixa,"4,00%","3,50%","15,60%","43,40%","23,45% (*)"
6ª Faixa,"35,00%","15,00%","19,50%","30,50%",
