2.14,"Aeronaves, inclusive Veículo Aéreo Não Tripulado (VANT) para uso pela segurança
nacional e também suas partes e peças",8802 e 8806
2.15,Veículos espaciais para uso pela segurança nacional,8802.60.00
2.16,Paraquedas para uso pela segurança nacional,8804.00.00
2.17,"Aparelhos e dispositivos para lançamento e aterrissagem de veículos aéreos e
espaciais para uso pela segurança nacional",8805.10.00
2.18,Simuladores de voo e similares para uso pela segurança nacional,8805.21.00
2.19,Equipamentos de apoio no solo para uso pela segurança nacional,8805
2.20,"Equipamentos de auxílio à comunicação, navegação e controle de tráfego aéreo
para uso pela segurança nacional",9014.20
2.21,"Embarcações construídas no País suas peças, partes e componentes utilizados no
reparo, conserto e reconstrução de embarcações","8901.20.00
8906.10.00"
2.22,"Dispositivos destinados a prover a segurança da informação do tipo Prevenção de
Intrusão (IPS)",8517.62.59
2.23,"Dispositivos destinados a prover a segurança da informação do tipo de Detecção de
Intrusão (IDS)",8517.62.59
2.24,"Dispositivos de Autenticação (tokens, leitores biométricos) que garantam a
segurança da informação/cibernética","8523.52
8471.90.14"
2.25,Equipamentos para criptografia para a segurança da informação/cibernética,8471.50.90
2.26,Firewalls para a segurança da informação/cibernética,"8517.62.59
8471.49.00"
2.27,Switches e roteadores seguros para a segurança da informação/cibernética,8517.62.34 8517.62.4
2.28,"Dispositivos de comunicação criptografada para a segurança da
informação/cibernética",8517.62.7
2.29,"Unidades de armazenamento criptografadas para a segurança da
informação/cibernética",8523.51
2.30,Servidores de armazenamento seguro para a segurança da informação/cibernética,8523.51
