Faixas,Percentual de Repartição dos Tributos,col2,col3,col4,col5,col6,col7
,IRPJ,CSLL,CBS,CPP,IPI,ICMS,IBS
1ª Faixa,"5,50%","3,50%","14,00%","37,50%","7,50%","28,80%","3,20%"
2ª Faixa,"5,50%","3,50%","14,00%","37,50%","7,50%","28,80%","3,20%"
3ª Faixa,"5,50%","3,50%","14,00%","37,50%","7,50%","28,80%","3,20%"
4ª Faixa,"5,50%","3,50%","14,00%","37,50%","7,50%","28,80%","3,20%"
5ª Faixa,"5,50%","3,50%","14,00%","37,50%","7,50%","28,80%","3,20%"
6ª Faixa,"8,50%","7,50%","25,50%","23,50%","35,00%",,
