"USO DE MOEDA DE APRESENTAÇÃO DIFERENTE DA MOEDA
FUNCIONAL",38 – 49
Conversão para a moeda de apresentação,38 – 43
Conversão de entidade no exterior,44 – 47
Baixa total ou parcial de entidade no exterior,48 – 49
EFEITOS FISCAIS DE TODAS AS VARIAÇÕES CAMBIAIS,50
DIVULGAÇÃO,51 – 57B
DISPOSIÇÕES TRANSITÓRIAS,58 – 60C
REVOGAÇÃO DE OUTRO PRONUNCIAMENTO,61 - 62
APÊNDICE A – Orientação de aplicação - Conversibilidade,
