"3250-
7/01","Fabricação de instrumentos não eletrônicos e utensílios para uso médico,
cirúrgico, odontológico e de laboratório",2
"3250-
7/02","Fabricação de mobiliário para uso médico, cirúrgico, odontológico e de laboratório",3
"3250-
7/03","Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos
ortopédicos em geral sob encomenda",2
"3250-
7/04","Fabricação de aparelhos e utensílios para correção de defeitos físicos e aparelhos
ortopédicos em geral, exceto sob encomenda",2
"3250-
7/05",Fabricação de materiais para medicina e odontologia,3
"3250-
7/06",Serviços de prótese dentária,2
"3250-
7/07",Fabricação de artigos ópticos,3
"3250-
7/09",Serviço de laboratório óptico,3
"3291-
4/00","Fabricação de escovas, pincéis e vassouras",3
"3292-
2/01",Fabricação de roupas de proteção e segurança e resistentes a fogo,3
"3292-
2/02",Fabricação de equipamentos e acessórios para segurança pessoal e profissional,3
"3299-
0/01",Fabricação de guarda-chuvas e similares,2
"3299-
0/02","Fabricação de canetas, lápis e outros artigos para escritório",2
"3299-
0/03","Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos",2
"3299-
0/04",Fabricação de painéis e letreiros luminosos,3
"3299-
0/05",Fabricação de aviamentos para costura,3
"3299-
0/06","Fabricação de velas, inclusive decorativas",3
"3299-
0/99",Fabricação de produtos diversos não especificados anteriormente,3
"3311-
2/00","Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto
para veículos",3
"3312-
1/01",Manutenção e reparação de equipamentos transmissores de comunicação,2
"3312-
1/02","Manutenção e reparação de aparelhos e instrumentos de medida, teste e controle",2
"3312-
1/03","Manutenção e reparação de aparelhos eletromédicos e eletroterapêuticos e
equipamentos de irradiação",1
"3312-
1/04",Manutenção e reparação de equipamentos e instrumentos ópticos,3
"3313-
9/01","Manutenção e reparação de geradores, transformadores e motores elétricos",3
"3313-
9/02","Manutenção e reparação de baterias e acumuladores elétricos, exceto para
veículos",2
"3313-
9/99","Manutenção e reparação de máquinas, aparelhos e materiais elétricos não
especificados anteriormente",3
"3314-
7/01",Manutenção e reparação de máquinas motrizes não elétricas,1
"3314-
7/02","Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto
válvulas",3
"3314-
7/03",Manutenção e reparação de válvulas industriais,2
"3314-
7/04",Manutenção e reparação de compressores,3
"3314-
7/05",Manutenção e reparação de equipamentos de transmissão para fins industriais,2
"3314-
7/06","Manutenção e reparação de máquinas, aparelhos e equipamentos para
instalações térmicas",3
