"6621-
5/02",Auditoria e consultoria atuarial,1
"6622-
3/00","Corretores e agentes de seguros, de planos de previdência complementar e de saúde",1
"6629-
1/00","Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não
especificadas anteriormente",2
"6630-
4/00",Atividades de administração de fundos por contrato ou comissão,2
"6810-
2/01",Compra e venda de imóveis próprios,3
"6810-
2/02",Aluguel de imóveis próprios,2
"6810-
2/03",Loteamento de imóveis próprios,3
"6821-
8/01",Corretagem na compra e venda e avaliação de imóveis,2
"6821-
8/02",Corretagem no aluguel de imóveis,2
"6822-
6/00",Gestão e administração da propriedade imobiliária,2
"6911-
7/01",Serviços advocatícios,1
"6911-
7/02",Atividades auxiliares da Justiça,1
"6911-
7/03",Agente de propriedade industrial,1
"6912-
5/00",Cartórios,1
"6920-
6/01",Atividades de contabilidade,1
"6920-
6/02",Atividades de consultoria e auditoria contábil e tributária,2
"7020-
4/00","Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",2
"7111-
1/00",Serviços de arquitetura,3
"7112-
0/00",Serviços de engenharia,3
"7119-
7/01","Serviços de cartografia, topografia e geodésia",2
"7119-
7/02",Atividades de estudos geológicos,3
"7119-
7/03",Serviços de desenho técnico relacionados à arquitetura e engenharia,2
"7119-
7/04",Serviços de perícia técnica relacionados à segurança do trabalho,1
"7119-
7/99","Atividades técnicas relacionadas à engenharia e arquitetura não especificadas
anteriormente",2
"7120-
1/00",Testes e análises técnicas,1
"7210-
0/00",Pesquisa e desenvolvimento experimental em ciências físicas e naturais,2
"7220-
7/00",Pesquisa e desenvolvimento experimental em ciências sociais e humanas,1
"7311-
4/00",Agências de publicidade,1
"7312-
2/00","Agenciamento de espaços para publicidade, exceto em veículos de comunicação",3
"7319-
0/01",Criação de estandes para feiras e exposições,2
"7319-
0/02",Promoção de vendas,3
"7319-
0/03",Marketing direto,3
