"3520-
4/02",Distribuição de combustíveis gasosos por redes urbanas,2
"3530-
1/00","Produção e distribuição de vapor, água quente e ar condicionado",2
"3600-
6/01","Captação, tratamento e distribuição de água",3
"3600-
6/02",Distribuição de água por caminhões,2
"3701-
1/00",Gestão de redes de esgoto,3
"3702-
9/00","Atividades relacionadas a esgoto, exceto a gestão de redes",3
"3811-
4/00",Coleta de resíduos não perigosos,3
"3812-
2/00",Coleta de resíduos perigosos,2
"3821-
1/00",Tratamento e disposição de resíduos não perigosos,3
