"7319-
0/04",Consultoria em publicidade,2
"7319-
0/99",Outras atividades de publicidade não especificadas anteriormente,2
"7320-
3/00",Pesquisas de mercado e de opinião pública,3
"7410-
2/02",Design de interiores,3
"7410-
2/03",Design de produto,3
"7410-
2/99",Atividades de design não especificadas anteriormente,3
"7420-
0/01","Atividades de produção de fotografias, exceto aérea e submarina",2
"7420-
0/02",Atividades de produção de fotografias aéreas e submarinas,2
"7420-
0/03",Laboratórios fotográficos,2
"7420-
0/04",Filmagem de festas e eventos,2
"7420-
0/05",Serviços de microfilmagem,3
"7490-
1/01","Serviços de tradução, interpretação e similares",3
"7490-
1/02",Escafandria e mergulho,3
"7490-
1/03",Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias,3
"7490-
1/04","Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto
imobiliários",2
"7490-
1/05","Agenciamento de profissionais para atividades esportivas, culturais e artísticas",3
"7490-
1/99","Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",2
"7500-
1/00",Atividades veterinárias,2
"7711-
0/00",Locação de automóveis sem condutor,2
"7719-
5/01","Locação de embarcações sem tripulação, exceto para fins recreativos",2
"7719-
5/02",Locação de aeronaves sem tripulação,3
"7719-
5/99","Locação de outros meios de transporte não especificados anteriormente, sem condutor",3
"7721-
7/00",Aluguel de equipamentos recreativos e esportivos,2
"7722-
5/00","Aluguel de fitas de vídeo, DVDs e similares",3
"7723-
3/00","Aluguel de objetos do vestuário, joias e acessórios",2
"7729-
2/01",Aluguel de aparelhos de jogos eletrônicos,3
"7729-
2/02","Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos
musicais",3
"7729-
2/03",Aluguel de material médico,1
"7729-
2/99",Aluguel de outros objetos pessoais e domésticos não especificados anteriormente,3
"7731-
4/00",Aluguel de máquinas e equipamentos agrícolas sem operador,3
"7732-
2/01","Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes",3
"7732-
2/02",Aluguel de andaimes,3
