"2943-
3/00","Fabricação de peças e acessórios para o sistema de freios de veículos
automotores",3
"2944-
1/00","Fabricação de peças e acessórios para o sistema de direção e suspensão de
veículos automotores",3
"2945-
0/00","Fabricação de material elétrico e eletrônico para veículos automotores, exceto
baterias",3
"2949-
2/01",Fabricação de bancos e estofados para veículos automotores,3
"2949-
2/99","Fabricação de outras peças e acessórios para veículos automotores não
especificadas anteriormente",3
"2950-
6/00",Recondicionamento e recuperação de motores para veículos automotores,3
"3011-
3/01",Construção de embarcações de grande porte,3
"3011-
3/02","Construção de embarcações para uso comercial e para usos especiais, exceto de
grande porte",3
"3012-
1/00",Construção de embarcações para esporte e lazer,3
"3031-
8/00","Fabricação de locomotivas, vagões e outros materiais rodantes",3
"3032-
6/00",Fabricação de peças e acessórios para veículos ferroviários,3
"3041-
5/00",Fabricação de aeronaves,2
"3042-
3/00","Fabricação de turbinas, motores e outros componentes e peças para aeronaves",2
"3050-
4/00",Fabricação de veículos militares de combate,2
"3091-
1/01",Fabricação de motocicletas,3
"3091-
1/02",Fabricação de peças e acessórios para motocicletas,3
"3092-
0/00","Fabricação de bicicletas e triciclos não motorizados, peças e acessórios",3
"3099-
7/00",Fabricação de equipamentos de transporte não especificados anteriormente,3
"3101-
2/00",Fabricação de móveis com predominância de madeira,3
"3102-
1/00",Fabricação de móveis com predominância de metal,3
"3103-
9/00","Fabricação de móveis de outros materiais, exceto madeira e metal",3
"3104-
7/00",Fabricação de colchões,3
"3211-
6/01",Lapidação de gemas,2
"3211-
6/02",Fabricação de artefatos de joalheria e ourivesaria,2
"3211-
6/03",Cunhagem de moedas e medalhas,2
"3212-
4/00",Fabricação de bijuterias e artefatos semelhantes,3
"3220-
5/00","Fabricação de instrumentos musicais, peças e acessórios",3
"3230-
2/00",Fabricação de artefatos para pesca e esporte,3
"3240-
0/01",Fabricação de jogos eletrônicos,2
"3240-
0/02","Fabricação de mesas de bilhar, de sinuca e acessórios não associada à locação",2
"3240-
0/03","Fabricação de mesas de bilhar, de sinuca e acessórios associada à locação",2
"3240-
0/99","Fabricação de outros brinquedos e jogos recreativos não especificados
anteriormente",3
