"4634-
6/99",Comércio atacadista de carnes e derivados de outros animais,2
"4635-
4/01",Comércio atacadista de água mineral,3
"4635-
4/02","Comércio atacadista de cerveja, chope e refrigerante",3
"4635-
4/03","Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento
associada",3
"4635-
4/99",Comércio atacadista de bebidas não especificadas anteriormente,3
"4636-
2/01",Comércio atacadista de fumo beneficiado,3
"4636-
2/02","Comércio atacadista de cigarros, cigarrilhas e charutos",2
"4637-
1/01","Comércio atacadista de café torrado, moído e solúvel",3
"4637-
1/02",Comércio atacadista de açúcar,2
"4637-
1/03",Comércio atacadista de óleos e gorduras,2
"4637-
1/04","Comércio atacadista de pães, bolos, biscoitos e similares",2
"4637-
1/05",Comércio atacadista de massas alimentícias,3
"4637-
1/06",Comércio atacadista de sorvetes,2
"4637-
1/07","Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes",3
"4637-
1/99","Comércio atacadista especializado em outros produtos alimentícios não especificados
anteriormente",3
"4639-
7/01",Comércio atacadista de produtos alimentícios em geral,3
"4639-
7/02","Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e
acondicionamento associada",3
"4641-
9/01",Comércio atacadista de tecidos,2
"4641-
9/02","Comércio atacadista de artigos de cama, mesa e banho",3
"4641-
9/03",Comércio atacadista de artigos de armarinho,3
"4642-
7/01","Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de
segurança",1
"4642-
7/02","Comércio atacadista de roupas e acessórios para uso profissional e de segurança do
trabalho",2
"4643-
5/01",Comércio atacadista de calçados,2
"4643-
5/02","Comércio atacadista de bolsas, malas e artigos de viagem",1
"4644-
3/01",Comércio atacadista de medicamentos e drogas de uso humano,2
"4644-
3/02",Comércio atacadista de medicamentos e drogas de uso veterinário,2
"4645-
1/01","Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de
laboratórios",1
"4645-
1/02",Comércio atacadista de próteses e artigos de ortopedia,2
"4645-
1/03",Comércio atacadista de produtos odontológicos,2
"4646-
0/01",Comércio atacadista de cosméticos e produtos de perfumaria,2
"4646-
0/02",Comércio atacadista de produtos de higiene pessoal,2
"4647-
8/01",Comércio atacadista de artigos de escritório e de papelaria,2
