"4761-
0/02",Comércio varejista de jornais e revistas,1
"4761-
0/03",Comércio varejista de artigos de papelaria,2
"4762-
8/00","Comércio varejista de discos, CDs, DVDs e fitas",1
"4763-
6/01",Comércio varejista de brinquedos e artigos recreativos,2
"4763-
6/02",Comércio varejista de artigos esportivos,1
"4763-
6/03",Comércio varejista de bicicletas e triciclos; peças e acessórios,1
"4763-
6/04","Comércio varejista de artigos de caça, pesca e camping",1
"4763-
6/05",Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,2
"4771-
7/01","Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",2
"4771-
7/02","Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",2
"4771-
7/03",Comércio varejista de produtos farmacêuticos homeopáticos,1
"4771-
7/04",Comércio varejista de medicamentos veterinários,3
"4772-
5/00","Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",2
"4773-
3/00",Comércio varejista de artigos médicos e ortopédicos,1
"4774-
1/00",Comércio varejista de artigos de óptica,2
"4781-
4/00",Comércio varejista de artigos do vestuário e acessórios,2
"4782-
2/01",Comércio varejista de calçados,2
"4782-
2/02",Comércio varejista de artigos de viagem,1
"4783-
1/01",Comércio varejista de artigos de joalheria,1
"4783-
1/02",Comércio varejista de artigos de relojoaria,2
"4784-
9/00",Comércio varejista de gás liquefeito de petróleo (GLP),3
"4785-
7/01",Comércio varejista de antiguidades,2
"4785-
7/99",Comércio varejista de outros artigos usados,3
"4789-
0/01","Comércio varejista de suvenires, bijuterias e artesanatos",2
"4789-
0/02",Comércio varejista de plantas e flores naturais,3
"4789-
0/03",Comércio varejista de objetos de arte,1
"4789-
0/04",Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,3
"4789-
0/05",Comércio varejista de produtos saneantes domissanitários,3
"4789-
0/06",Comércio varejista de fogos de artifício e artigos pirotécnicos,2
"4789-
0/07",Comércio varejista de equipamentos para escritório,2
"4789-
0/08",Comércio varejista de artigos fotográficos e para filmagem,1
"4789-
0/09",Comércio varejista de armas e munições,2
