"1830-
0/02",Reprodução de vídeo em qualquer suporte,2
"1830-
0/03",Reprodução de software em qualquer suporte,1
"1910-
1/00",Coquerias,3
"1921-
7/00",Fabricação de produtos do refino de petróleo,3
"1922-
5/01",Formulação de combustíveis,3
"1922-
5/02",Rerrefino de óleos lubrificantes,3
"1922-
5/99","Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",3
"1931-
4/00",Fabricação de álcool,3
"1932-
2/00","Fabricação de biocombustíveis, exceto álcool",3
"2011-
8/00",Fabricação de cloro e álcalis,2
"2012-
6/00",Fabricação de intermediários para fertilizantes,3
"2013-
4/01",Fabricação de adubos e fertilizantes organominerais,2
"2013-
4/02","Fabricação de adubos e fertilizantes, exceto organominerais",2
"2014-
2/00",Fabricação de gases industriais,2
"2019-
3/01",Elaboração de combustíveis nucleares,3
"2019-
3/99","Fabricação de outros produtos químicos inorgânicos não especificados
anteriormente",2
"2021-
5/00",Fabricação de produtos petroquímicos básicos,3
"2022-
3/00","Fabricação de intermediários para plastificantes, resinas e fibras",3
"2029-
1/00",Fabricação de produtos químicos orgânicos não especificados anteriormente,2
"2031-
2/00",Fabricação de resinas termoplásticas,3
"2032-
1/00",Fabricação de resinas termofixas,2
"2033-
9/00",Fabricação de elastômeros,3
"2040-
1/00",Fabricação de fibras artificiais e sintéticas,3
"2051-
7/00",Fabricação de defensivos agrícolas,3
"2052-
5/00",Fabricação de desinfestantes domissanitários,2
"2061-
4/00",Fabricação de sabões e detergentes sintéticos,3
"2062-
2/00",Fabricação de produtos de limpeza e polimento,3
"2063-
1/00","Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",3
"2071-
1/00","Fabricação de tintas, vernizes, esmaltes e lacas",3
"2072-
0/00",Fabricação de tintas de impressão,3
"2073-
8/00","Fabricação de impermeabilizantes, solventes e produtos afins",3
"2091-
6/00",Fabricação de adesivos e selantes,3
