"6493-
0/00",Administração de consórcios para aquisição de bens e direitos,2
"6499-
9/01",Clubes de investimento,1
"6499-
9/02",Sociedades de investimento,1
"6499-
9/03",Fundo garantidor de crédito,1
"6499-
9/04",Caixas de financiamento de corporações,1
"6499-
9/05",Concessão de crédito pelas Oscip,1
"6499-
9/99",Outras atividades de serviços financeiros não especificadas anteriormente,1
"6511-
1/01",Sociedade seguradora de seguros vida,1
"6511-
1/02",Planos de auxílio-funeral,2
"6512-
0/00",Sociedade seguradora de seguros não vida,2
"6520-
1/00",Sociedade seguradora de seguros saúde,1
"6530-
8/00",Resseguros,2
"6541-
3/00",Previdência complementar fechada,1
"6542-
1/00",Previdência complementar aberta,1
"6550-
2/00",Planos de saúde,2
"6611-
8/01",Bolsa de valores,1
"6611-
8/02",Bolsa de mercadorias,1
"6611-
8/03",Bolsa de mercadorias e futuros,1
"6611-
8/04",Administração de mercados de balcão organizados,2
"6612-
6/01",Corretoras de títulos e valores mobiliários,1
"6612-
6/02",Distribuidoras de títulos e valores mobiliários,1
"6612-
6/03",Corretoras de câmbio,1
"6612-
6/04",Corretoras de contratos de mercadorias,1
"6612-
6/05",Agentes de investimentos em aplicações financeiras,2
"6613-
4/00",Administração de cartões de crédito,2
"6619-
3/01",Serviços de liquidação e custódia,1
"6619-
3/02",Correspondentes de instituições financeiras,2
"6619-
3/03",Representações de bancos estrangeiros,1
"6619-
3/04",Caixas eletrônicos,1
"6619-
3/05",Operadoras de cartões de débito,1
"6619-
3/99",Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,2
"6621-
5/01",Peritos e avaliadores de seguros,1
