"5911-
1/01",Estúdios cinematográficos,1
"5911-
1/02",Produção de filmes para publicidade,3
"5911-
1/99","Atividades de produção cinematográfica, de vídeos e de programas de televisão não
especificadas anteriormente",1
"5912-
0/01",Serviços de dublagem,2
"5912-
0/02",Serviços de mixagem sonora em produção audiovisual,2
"5912-
0/99","Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não
especificadas anteriormente",1
"5913-
8/00","Distribuição cinematográfica, de vídeo e de programas de televisão",1
"5914-
6/00",Atividades de exibição cinematográfica,3
"5920-
1/00",Atividades de gravação de som e de edição de música,2
"6010-
1/00",Atividades de rádio,1
"6021-
7/00",Atividades de televisão aberta,3
"6022-
5/01",Programadoras,3
"6022-
5/02","Atividades relacionadas à televisão por assinatura, exceto programadoras",3
"6110-
8/01",Serviços de telefonia fixa comutada (STFC),2
"6110-
8/02",Serviços de redes de transportes de telecomunicações (SRTT),2
"6110-
8/03",Serviços de comunicação multimídia (SCM),2
"6110-
8/99",Serviços de telecomunicações por fio não especificados anteriormente,3
"6120-
5/01",Telefonia móvel celular,2
"6120-
5/02",Serviço móvel especializado (SME),3
"6120-
5/99",Serviços de telecomunicações sem fio não especificados anteriormente,1
"6130-
2/00",Telecomunicações por satélite,1
"6141-
8/00",Operadoras de televisão por assinatura por cabo,3
"6142-
6/00",Operadoras de televisão por assinatura por micro-ondas,2
"6143-
4/00",Operadoras de televisão por assinatura por satélite,3
"6190-
6/01",Provedores de acesso às redes de comunicações,3
"6190-
6/02",Provedores de voz sobre protocolo internet - VoIP,2
"6190-
6/99",Outras atividades de telecomunicações não especificadas anteriormente,2
"6201-
5/01",Desenvolvimento de programas de computador sob encomenda,1
"6201-
5/02",Web design,1
"6202-
3/00",Desenvolvimento e licenciamento de programas de computador customizáveis,2
"6203-
1/00",Desenvolvimento e licenciamento de programas de computador não customizáveis,1
"6204-
0/00",Consultoria em tecnologia da informação,2
