"9491-
0/00",Atividades de organizações religiosas ou filosóficas,2
"9492-
8/00",Atividades de organizações políticas,1
"9493-
6/00",Atividades de organizações associativas ligadas à cultura e à arte,2
"9499-
5/00",Atividades associativas não especificadas anteriormente,2
"9511-
8/00",Reparação e manutenção de computadores e de equipamentos periféricos,3
"9512-
6/00",Reparação e manutenção de equipamentos de comunicação,2
"9521-
5/00",Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico,3
"9529-
1/01","Reparação de calçados, bolsas e artigos de viagem",1
"9529-
1/02",Chaveiros,3
"9529-
1/03",Reparação de relógios,1
"9529-
1/04","Reparação de bicicletas, triciclos e outros veículos não motorizados",3
"9529-
1/05",Reparação de artigos do mobiliário,2
"9529-
1/06",Reparação de joias,2
"9529-
1/99","Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não
especificados anteriormente",3
"9601-
7/01",Lavanderias,3
"9601-
7/02",Tinturarias,3
"9601-
7/03",Toalheiros,3
"9602-
5/01","Cabeleireiros, manicure e pedicure",2
"9602-
5/02",Atividades de Estética e outros serviços de cuidados com a beleza,2
"9603-
3/01",Gestão e manutenção de cemitérios,3
"9603-
3/02",Serviços de cremação,2
"9603-
3/03",Serviços de sepultamento,2
"9603-
3/04",Serviços de funerárias,2
"9603-
3/05",Serviços de somatoconservação,3
"9603-
3/99",Atividades funerárias e serviços relacionados não especificados anteriormente,3
"9609-
2/02",Agências matrimoniais,3
"9609-
2/04",Exploração de máquinas de serviços pessoais acionadas por moeda,1
"9609-
2/05",Atividades de sauna e banhos,1
"9609-
2/06",Serviços de tatuagem e colocação de piercing,2
"9609-
2/07",Alojamento de animais domésticos,2
"9609-
2/08",Higiene e embelezamento de animais domésticos,2
"9609-
2/99",Outras atividades de serviços pessoais não especificadas anteriormente,2
