"2652-
3/00",Fabricação de cronômetros e relógios,2
"2660-
4/00","Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de
irradiação",2
"2670-
1/01","Fabricação de equipamentos e instrumentos ópticos, peças e acessórios",2
"2670-
1/02","Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios",3
"2680-
9/00","Fabricação de mídias virgens, magnéticas e ópticas",3
"2710-
4/01","Fabricação de geradores de corrente contínua e alternada, peças e acessórios",3
"2710-
4/02","Fabricação de transformadores, indutores, conversores, sincronizadores e
semelhantes, peças e acessórios",3
"2710-
4/03","Fabricação de motores elétricos, peças e acessórios",3
"2721-
0/00","Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos
automotores",3
"2722-
8/01",Fabricação de baterias e acumuladores para veículos automotores,3
"2722-
8/02",Recondicionamento de baterias e acumuladores para veículos automotores,3
"2731-
7/00","Fabricação de aparelhos e equipamentos para distribuição e controle de energia
elétrica",3
"2732-
5/00",Fabricação de material elétrico para instalações em circuito de consumo,3
"2733-
3/00","Fabricação de fios, cabos e condutores elétricos isolados",3
"2740-
6/01",Fabricação de lâmpadas,3
"2740-
6/02",Fabricação de luminárias e outros equipamentos de iluminação,3
"2751-
1/00","Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso
doméstico, peças e acessórios",3
"2759-
7/01","Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios",3
"2759-
7/99","Fabricação de outros aparelhos eletrodomésticos não especificados
anteriormente, peças e acessórios",3
"2790-
2/01","Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso
elétrico, eletroímãs e isoladores",3
"2790-
2/02",Fabricação de equipamentos para sinalização e alarme,3
"2790-
2/99","Fabricação de outros equipamentos e aparelhos elétricos não especificados
anteriormente",2
"2811-
9/00","Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e
veículos rodoviários",2
"2812-
7/00","Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios,
exceto válvulas",3
"2813-
5/00","Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios",3
"2814-
3/01","Fabricação de compressores para uso industrial, peças e acessórios",3
"2814-
3/02","Fabricação de compressores para uso não industrial, peças e acessórios",3
"2815-
1/01",Fabricação de rolamentos para fins industriais,2
"2815-
1/02","Fabricação de equipamentos de transmissão para fins industriais, exceto
rolamentos",3
"2821-
6/01","Fabricação de fornos industriais, aparelhos e equipamentos não elétricos para
instalações térmicas, peças e acessórios",3
"2821-
6/02","Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios",3
"2822-
4/01","Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de
pessoas, peças e acessórios",3
