"8621-
6/01",UTI móvel,2
"8621-
6/02","Serviços móveis de atendimento a urgências, exceto por UTI móvel",2
"8622-
4/00","Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências",2
"8630-
5/01",Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos,1
"8630-
5/02",Atividade médica ambulatorial com recursos para realização de exames complementares,2
"8630-
5/03",Atividade médica ambulatorial restrita a consultas,1
"8630-
5/04",Atividade odontológica com recursos para realização de procedimentos cirúrgicos,1
"8630-
5/05",Atividade odontológica sem recursos para realização de procedimentos cirúrgicos,1
"8630-
5/06",Serviços de vacinação e imunização humana,1
"8630-
5/07",Atividades de reprodução humana assistida,2
"8630-
5/99",Atividades de atenção ambulatorial não especificadas anteriormente,2
"8640-
2/01",Laboratórios de anatomia patológica e citológica,2
"8640-
2/02",Laboratórios clínicos,2
"8640-
2/03",Serviços de diálise e nefrologia,2
"8640-
2/04",Serviços de tomografia,1
"8640-
2/05","Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia",2
"8640-
2/06",Serviços de ressonância magnética,2
"8640-
2/07","Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância
magnética",1
"8640-
2/08","Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos",3
"8640-
2/09",Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos,2
"8640-
2/10",Serviços de quimioterapia,2
