"2092-
4/01","Fabricação de pólvoras, explosivos e detonantes",3
"2092-
4/02",Fabricação de artigos pirotécnicos,2
"2092-
4/03",Fabricação de fósforos de segurança,3
"2093-
2/00",Fabricação de aditivos de uso industrial,3
"2094-
1/00",Fabricação de catalisadores,1
"2099-
1/01","Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para
fotografia",2
"2099-
1/99",Fabricação de outros produtos químicos não especificados anteriormente,3
"2110-
6/00",Fabricação de produtos farmoquímicos,3
"2121-
1/01",Fabricação de medicamentos alopáticos para uso humano,3
"2121-
1/02",Fabricação de medicamentos homeopáticos para uso humano,2
"2121-
1/03",Fabricação de medicamentos fitoterápicos para uso humano,2
"2122-
0/00",Fabricação de medicamentos para uso veterinário,3
"2123-
8/00",Fabricação de preparações farmacêuticas,1
"2211-
1/00",Fabricação de pneumáticos e de câmaras-de-ar,3
"2212-
9/00",Reforma de pneumáticos usados,3
"2219-
6/00",Fabricação de artefatos de borracha não especificados anteriormente,3
"2221-
8/00",Fabricação de laminados planos e tubulares de material plástico,3
"2222-
6/00",Fabricação de embalagens de material plástico,3
"2223-
4/00",Fabricação de tubos e acessórios de material plástico para uso na construção,3
"2229-
3/01",Fabricação de artefatos de material plástico para uso pessoal e doméstico,3
"2229-
3/02",Fabricação de artefatos de material plástico para usos industriais,3
"2229-
3/03","Fabricação de artefatos de material plástico para uso na construção, exceto tubos
e acessórios",3
"2229-
3/99","Fabricação de artefatos de material plástico para outros usos não especificados
anteriormente",3
"2311-
7/00",Fabricação de vidro plano e de segurança,3
"2312-
5/00",Fabricação de embalagens de vidro,3
"2319-
2/00",Fabricação de artigos de vidro,3
"2320-
6/00",Fabricação de cimento,3
"2330-
3/01","Fabricação de estruturas pré-moldadas de concreto armado, em série e sob
encomenda",3
"2330-
3/02",Fabricação de artefatos de cimento para uso na construção,3
"2330-
3/03",Fabricação de artefatos de fibrocimento para uso na construção,2
"2330-
3/04",Fabricação de casas pré-moldadas de concreto,3
"2330-
3/05",Preparação de massa de concreto e argamassa para construção,3
