"0139-
3/99",Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,3
"0141-
5/01","Produção de sementes certificadas, exceto de forrageiras para pasto",3
"0141-
5/02",Produção de sementes certificadas de forrageiras para formação de pasto,3
"0142-
3/00","Produção de mudas e outras formas de propagação vegetal, certificadas",2
"0151-
2/01",Criação de bovinos para corte,3
"0151-
2/02",Criação de bovinos para leite,3
"0151-
2/03","Criação de bovinos, exceto para corte e leite",3
"0152-
1/01",Criação de bufalinos,3
"0152-
1/02",Criação de equinos,2
"0152-
1/03",Criação de asininos e muares,3
"0153-
9/01",Criação de caprinos,3
"0153-
9/02","Criação de ovinos, inclusive para produção de lã",3
"0154-
7/00",Criação de suínos,3
"0155-
5/01",Criação de frangos para corte,3
"0155-
5/02",Produção de pintos de um dia,3
"0155-
5/03","Criação de outros galináceos, exceto para corte",2
"0155-
5/04","Criação de aves, exceto galináceos",2
"0155-
5/05",Produção de ovos,3
"0159-
8/01",Apicultura,2
"0159-
8/02",Criação de animais de estimação,3
"0159-
8/03",Criação de escargô,1
"0159-
8/04",Criação de bicho-da-seda,1
"0159-
8/99",Criação de outros animais não especificados anteriormente,2
"0161-
0/01",Serviço de pulverização e controle de pragas agrícolas,3
"0161-
0/02",Serviço de poda de árvores para lavouras,3
"0161-
0/03","Serviço de preparação de terreno, cultivo e colheita",3
"0161-
0/99",Atividades de apoio à agricultura não especificadas anteriormente,3
"0162-
8/01",Serviço de inseminação artificial em animais,2
"0162-
8/02",Serviço de tosquiamento de ovinos,3
"0162-
8/03",Serviço de manejo de animais,3
"0162-
8/99",Atividades de apoio à pecuária não especificadas anteriormente,3
"0163-
6/00",Atividades de pós-colheita,3
