"3314-
7/07","Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação
para uso industrial e comercial",3
"3314-
7/08","Manutenção e reparação de máquinas, equipamentos e aparelhos para transporte
e elevação de cargas",3
"3314-
7/09","Manutenção e reparação de máquinas de escrever, calcular e de outros
equipamentos não eletrônicos para escritório",3
"3314-
7/10","Manutenção e reparação de máquinas e equipamentos para uso geral não
especificados anteriormente",3
3314-7/11,Manutenção e reparação de máquinas e equipamentos para agricultura e pecuária,3
"3314-
7/12",Manutenção e reparação de tratores agrícolas,3
"3314-
7/13",Manutenção e reparação de máquinas-ferramenta,3
"3314-
7/14","Manutenção e reparação de máquinas e equipamentos para a prospecção e
extração de petróleo",3
"3314-
7/15","Manutenção e reparação de máquinas e equipamentos para uso na extração
mineral, exceto na extração de petróleo",2
"3314-
7/16","Manutenção e reparação de tratores, exceto agrícolas",3
"3314-
7/17","Manutenção e reparação de máquinas e equipamentos de terraplenagem,
pavimentação e construção, exceto tratores",3
"3314-
7/18","Manutenção e reparação de máquinas para a indústria metalúrgica, exceto
máquinas-ferramenta",3
"3314-
7/19","Manutenção e reparação de máquinas e equipamentos para as indústrias de
alimentos, bebidas e fumo",3
"3314-
7/20","Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do
vestuário, do couro e calçados",2
"3314-
7/21","Manutenção e reparação de máquinas e aparelhos para a indústria de celulose,
papel e papelão e artefatos",3
"3314-
7/22",Manutenção e reparação de máquinas e aparelhos para a indústria do plástico,3
"3314-
7/99","Manutenção e reparação de outras máquinas e equipamentos para usos
industriais não especificados anteriormente",3
"3315-
5/00",Manutenção e reparação de veículos ferroviários,3
"3316-
3/01","Manutenção e reparação de aeronaves, exceto a manutenção na pista",2
"3316-
3/02",Manutenção de aeronaves na pista,1
"3317-
1/01",Manutenção e reparação de embarcações e estruturas flutuantes,3
"3317-
1/02",Manutenção e reparação de embarcações para esporte e lazer,2
"3319-
8/00","Manutenção e reparação de equipamentos e produtos não especificados
anteriormente",3
"3321-
0/00",Instalação de máquinas e equipamentos industriais,3
"3329-
5/01",Serviços de montagem de móveis de qualquer material,3
"3329-
5/99",Instalação de outros equipamentos não especificados anteriormente,3
"3511-
5/01",Geração de energia elétrica,3
"3511-
5/02","Atividades de coordenação e controle da operação da geração e transmissão de
energia elétrica",3
"3512-
3/00",Transmissão de energia elétrica,3
"3513-
1/00",Comércio atacadista de energia elétrica,1
"3514-
0/00",Distribuição de energia elétrica,3
"3520-
4/01",Produção de gás; processamento de gás natural,2
